Date,state,district,sm_level,sm_agg_pct,sm_vol_pct,day_of_year,week,month,district_encoded,drought_risk
2018-06-20,GUJARAT,Vadodara,0.01,0.11,3.454815169,171,25,6,24,2
2018-06-20,GUJARAT,Navsari,0.04,0.26,10.42019283,171,25,6,14,2
2018-06-20,GUJARAT,Surendranagar,0.02,0.12,2.097628918,171,25,6,21,2
2018-06-20,GUJARAT,Bharuch,0.1,0.55,1.932980438,171,25,6,4,2
2018-06-20,GUJARAT,Valsad,0.25,1.42,29.24619611,171,25,6,25,2
2018-06-20,GUJARAT,Amreli,0.05,0.49,0.777060395,171,25,6,1,2
2018-06-20,GUJARAT,Anand,0.01,0.08,0.576704767,171,25,6,2,2
2018-06-20,GUJARAT,Bhavnagar,0.05,0.29,1.370173621,171,25,6,5,2
2018-06-20,GUJARAT,Kheda,0.0,0.0,0.350694674,171,25,6,11,2
2018-06-20,GUJARAT,Patan,0.04,0.32,0.087532866,171,25,6,16,2
2018-06-20,GUJARAT,The Dangs,0.0,0.0,19.58941182,171,25,6,23,2
2018-06-20,GUJARAT,Tapi,0.01,0.03,9.069384929,171,25,6,22,2
2018-06-20,GUJARAT,Panch Mahals,0.0,0.0,1.852969634,171,25,6,15,2
2018-06-20,GUJARAT,Surat,0.06,0.34,5.360712224,171,25,6,20,2
2018-06-20,GUJARAT,Sabar Kantha,0.0,0.0,2.641538483,171,25,6,19,2
2018-06-20,GUJARAT,Mahesana,0.0,0.0,0.3537912,171,25,6,12,2
2018-06-20,GUJARAT,Banas Kantha,0.0,0.04,1.102510508,171,25,6,3,2
2018-06-20,GUJARAT,Dohad,0.0,0.0,4.209975123,171,25,6,6,2
2018-06-20,GUJARAT,Ahmadabad,0.03,0.21,1.927765493,171,25,6,0,2
2018-06-20,GUJARAT,Porbandar,0.0,0.1,6.444811054,171,25,6,17,2
2018-06-20,GUJARAT,Junagadh,0.02,0.32,4.275068212,171,25,6,9,2
2018-06-20,GUJARAT,Kachchh,0.69,3.83,0.753890721,171,25,6,10,2
2018-06-20,GUJARAT,Rajkot,0.01,0.07,0.86391099,171,25,6,18,2
2018-06-19,GUJARAT,Gandhinagar,0.0,0.0,0.272809471,170,25,6,7,2
2018-06-19,GUJARAT,Narmada,0.0,0.0,8.109343697,170,25,6,13,2
2018-06-19,GUJARAT,Jamnagar,0.07,0.5,2.600194237,170,25,6,8,2
2018-06-19,GUJARAT,Vadodara,0.01,0.11,1.147402589,170,25,6,24,2
2018-06-19,GUJARAT,Navsari,0.04,0.27,6.750779931,170,25,6,14,2
2018-06-19,GUJARAT,Surendranagar,0.02,0.12,2.148689195,170,25,6,21,2
2018-06-19,GUJARAT,Bharuch,0.1,0.57,1.807600691,170,25,6,4,2
2018-06-19,GUJARAT,Valsad,0.24,1.37,26.96465057,170,25,6,25,2
2018-06-19,GUJARAT,Amreli,0.06,0.51,0.778797004,170,25,6,1,2
2018-06-19,GUJARAT,Anand,0.01,0.09,0.578838941,170,25,6,2,2
2018-06-19,GUJARAT,Bhavnagar,0.05,0.29,1.320699659,170,25,6,5,2
2018-06-19,GUJARAT,Kheda,0.0,0.0,0.352411138,170,25,6,11,2
2018-06-19,GUJARAT,Patan,0.04,0.32,0.087986567,170,25,6,16,2
2018-06-19,GUJARAT,The Dangs,0.0,0.0,10.349453,170,25,6,23,2
2018-06-19,GUJARAT,Tapi,0.0,0.0,4.154259994,170,25,6,22,2
2018-06-19,GUJARAT,Panch Mahals,0.0,0.0,1.851832034,170,25,6,15,2
2018-06-19,GUJARAT,Surat,0.06,0.34,4.886399122,170,25,6,20,2
2018-06-19,GUJARAT,Sabar Kantha,0.0,0.0,2.645205591,170,25,6,19,2
2018-06-19,GUJARAT,Mahesana,0.0,0.0,0.354905287,170,25,6,12,2
2018-06-19,GUJARAT,Banas Kantha,0.01,0.04,1.105125347,170,25,6,3,2
2018-06-19,GUJARAT,Dohad,0.0,0.0,3.837635976,170,25,6,6,2
2018-06-19,GUJARAT,Ahmadabad,0.03,0.21,1.621996724,170,25,6,0,2
2018-06-19,GUJARAT,Porbandar,0.0,0.11,6.347220246,170,25,6,17,2
2018-06-19,GUJARAT,Junagadh,0.02,0.32,4.26640094,170,25,6,9,2
2018-06-19,GUJARAT,Kachchh,0.7,3.88,0.711937478,170,25,6,10,2
