state,city,station,latitude,longitude,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,aqi_category,aqi_label
Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",19.23241,72.86895,41.0,10.0,32.0,20.0,100.0,52.0,12.0,1,Satisfactory
Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",19.2243333,72.8658113,16.0,4.0,23.0,10.0,30.0,21.0,16.0,0,Good
Maharashtra,Mumbai,"Byculla, Mumbai - BMC",18.9767,72.838,45.0,8.0,38.0,6.0,98.0,44.0,1.0,1,Satisfactory
Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",19.11074,72.86084,2.0,22.0,77.0,33.0,115.0,58.0,21.0,1,Satisfactory
Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",19.0364585,72.8954371,24.0,14.0,30.0,6.0,92.0,37.0,4.0,1,Satisfactory
Maharashtra,Mumbai,"Deonar, Mumbai - IITM",19.04946,72.923,35.0,20.0,23.0,13.0,119.0,49.0,1.0,1,Satisfactory
Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",19.083694,72.920967,8.0,8.0,25.0,9.0,110.0,66.0,1.0,2,Moderate
Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",19.2058,72.8682,30.0,4.0,36.0,15.0,13.0,9.0,22.0,0,Good
Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",19.215859,72.831718,14.0,4.0,17.0,17.0,94.0,29.0,2.0,0,Good
Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",19.0632143,72.8456324,4.0,8.0,17.0,6.0,83.0,32.0,2.0,1,Satisfactory
Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",19.1653323,72.922099,16.0,4.0,20.0,18.0,80.0,49.0,1.0,1,Satisfactory
Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",19.0863,72.8888,10.0,1.0,5.0,28.0,95.0,61.0,29.0,2,Moderate
Maharashtra,Mumbai,"Malad West, Mumbai - IITM",19.19709,72.82204,34.0,23.0,52.0,22.0,111.0,29.0,12.0,0,Good
Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",18.96702,72.84214,52.0,15.0,60.0,14.0,108.0,47.0,9.0,1,Satisfactory
Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",19.1878657,72.8304069,11.0,2.0,15.0,20.0,85.0,24.0,12.0,0,Good
Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",19.175,72.9419,33.0,4.0,21.0,20.0,84.0,43.0,12.0,1,Satisfactory
Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",18.897756,72.81332,17.0,8.0,40.0,33.0,109.0,50.0,4.0,1,Satisfactory
Maharashtra,Mumbai,"Powai, Mumbai - MPCB",19.1375,72.915056,33.0,2.0,7.0,9.0,105.0,44.0,14.0,1,Satisfactory
Maharashtra,Mumbai,"Sewri, Mumbai - BMC",19.000084,72.85673,17.0,5.0,26.0,8.0,84.0,29.0,3.0,0,Good
Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",19.060498,72.923356,13.0,5.0,18.0,5.0,123.0,58.0,9.0,1,Satisfactory
Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993,20.0,5.0,25.0,53.0,118.0,60.0,12.0,1,Satisfactory
Maharashtra,Mumbai,"Sion, Mumbai - MPCB",19.047,72.8746,17.0,6.0,58.0,9.0,109.0,144.0,6.0,4,Very Poor
Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB",19.10861,72.83622,24.0,6.0,11.0,20.0,42.0,28.0,50.0,0,Good
Maharashtra,Mumbai,"Worli, Mumbai -MPCB",18.994218,72.8158167,14.0,3.0,12.0,27.0,95.0,28.0,26.0,0,Good
Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",21.121801,79.04952,30.0,3.0,17.0,23.0,117.0,154.0,32.0,4,Very Poor
Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",21.14472,79.107595,24.0,8.0,52.0,16.0,168.0,143.0,36.0,4,Very Poor
Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",21.152875,79.0517531,24.0,9.0,33.0,16.0,122.0,112.0,24.0,3,Poor
Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB",21.143383,79.048912,35.0,4.0,19.0,27.0,123.0,132.0,25.0,4,Very Poor
Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",19.173852,77.296291,25.0,4.0,23.0,31.0,107.0,95.0,6.0,3,Poor
